stage,stage_name,rank_within_stage,feature_1,feature_1_low,feature_1_high,feature_2,feature_2_low,feature_2_high,coverage,precision,lift,distinctiveness_index
1,N1,22,Index_2,0.2058306783437729,0.45722874999046326,Index_N_noEOG,0.2242669016122818,0.5742504000663757,0.3843574210298572,0.18378140719763097,1.6558418499709195,0.2520776820582732
1,N1,23,Index_2,0.2058306783437729,0.45722874999046326,Index_R,0.2306656837463379,0.5750745534896851,0.3652639549978364,0.1875781228299214,1.6900496663776399,0.2520502702860343
1,N1,24,Index_1,0.47439470887184143,0.8134779930114746,Index_4,0.23514603078365326,0.5287877321243286,0.3800843790566854,0.18390473697984822,1.6569530320967778,0.2496975852739105
1,N1,25,EOG,0.05000000074505806,0.15811192989349365,Index_2,0.2058306783437729,0.45722874999046326,0.48864128083080915,0.16694231675428953,1.5041242682160576,0.24633592811898877
1,N1,26,Delta,0.05236256122589111,0.146558478474617,Index_R,0.2306656837463379,0.5750745534896851,0.37537862397230637,0.18356146267275011,1.6538601840639975,0.24544513616422234
1,N1,27,EOG,0.05000000074505806,0.15811192989349365,Theta,0.10223731398582458,0.39980393648147583,0.4903450887061878,0.1662997817034469,1.4983351275000205,0.24435618229940698
1,N1,28,Index_N_noEOG,0.2242669016122818,0.5742504000663757,Delta,0.05236256122589111,0.146558478474617,0.40409995672868887,0.1760263886434588,1.5859703408498118,0.23679058938170403
1,N1,29,Index_N_noEOG,0.2242669016122818,0.5742504000663757,Index_R,0.2306656837463379,0.5750745534896851,0.3778396797922977,0.18010828928709552,1.6227476297835537,0.2352987650288303
1,N1,30,EOG,0.05000000074505806,0.15811192989349365,Aperiodic,0.2602565586566925,0.7036455869674683,0.48255625270445696,0.16428051890657655,1.480141884254518,0.2316954684323173
1,N1,31,Index_W,0.37862467765808105,0.763146698474884,Index_4,0.23514603078365326,0.5287877321243286,0.38698074426655127,0.17570205920996082,1.583048183176997,0.2256284198690948
1,N1,32,Index_R_noEOG,0.3408217430114746,0.6947346925735474,Index_R,0.2306656837463379,0.5750745534896851,0.4707918649935093,0.1632928728214172,1.47124334687958,0.2218575341432207
1,N1,33,Index_R_noEOG,0.3408217430114746,0.6947346925735474,Theta,0.10223731398582458,0.39980393648147583,0.36621051492860235,0.17803284292457172,1.6040481813636096,0.22120879553885325
1,N1,34,EOG,0.05000000074505806,0.15811192989349365,Delta,0.05236256122589111,0.146558478474617,0.49643011683254,0.15979664144997432,1.4397428468546192,0.21830159284031234
1,N1,35,Index_N_noEOG,0.2242669016122818,0.5742504000663757,Index_4,0.23514603078365326,0.5287877321243286,0.3750811337083514,0.1741636528028933,1.5691873810973476,0.21349144819448057
1,N1,36,Index_2,0.2058306783437729,0.45722874999046326,Index_4,0.23514603078365326,0.5287877321243286,0.42230095196884465,0.16690181491694991,1.5037593529708744,0.21273805432280948
1,N1,37,Index_1,0.47439470887184143,0.8134779930114746,Index_N_noEOG,0.2242669016122818,0.5742504000663757,0.3953916053656426,0.17012462617964322,1.5327963804085116,0.21066321618272502
1,N1,38,Index_R_noEOG,0.3408217430114746,0.6947346925735474,MSE,0.34631413221359253,0.8674126267433167,0.37245781047165727,0.1733308161852621,1.5616836529091147,0.20920346354025118
1,N1,39,Index_2,0.2058306783437729,0.45722874999046326,Theta,0.10223731398582458,0.39980393648147583,0.3654532669839896,0.17321472062348583,1.5606376499825056,0.20488686078033316
1,N1,40,Index_2,0.2058306783437729,0.45722874999046326,Aperiodic,0.2602565586566925,0.7036455869674683,0.36791432280398095,0.1723792749527997,1.5531104146326777,0.20349724363541075
1,N1,41,Index_2,0.2058306783437729,0.45722874999046326,Delta,0.05236256122589111,0.146558478474617,0.3898745131977499,0.16760257170427725,1.510073062463043,0.19886448692306435
1,N1,42,Index_1,0.47439470887184143,0.8134779930114746,Index_R,0.2306656837463379,0.5750745534896851,0.3840869753353527,0.1669154375036728,1.5038820903551646,0.19353454801017006
1,N1,43,EOG,0.05000000074505806,0.15811192989349365,MSE,0.34631413221359253,0.8674126267433167,0.4939420164430982,0.1534003577997833,1.3821133275590047,0.1887418275242769
1,N1,44,Index_1,0.47439470887184143,0.8134779930114746,Aperiodic,0.2602565586566925,0.7036455869674683,0.4087786672436175,0.16184296467615347,1.4581799003528069,0.18729416902403387
1,N1,45,Index_4,0.23514603078365326,0.5287877321243286,Theta,0.10223731398582458,0.39980393648147583,0.4417189528342709,0.15664892341629502,1.411382397712615,0.18171540193206784
1,N1,46,Index_1,0.47439470887184143,0.8134779930114746,Theta,0.10223731398582458,0.39980393648147583,0.3718628299437473,0.16490567395449804,1.485774433851637,0.18064145568639142
