epoch,consensus_stage,consensus_stage_name,n_subjects_contributing
506,2,N2,100
507,2,N2,100
508,2,N2,100
509,2,N2,100
510,2,N2,100
511,2,N2,100
512,2,N2,100
513,2,N2,100
514,2,N2,100
515,2,N2,100
516,2,N2,100
517,2,N2,100
518,2,N2,100
519,2,N2,100
520,2,N2,100
521,2,N2,100
522,2,N2,100
523,2,N2,100
524,2,N2,100
525,2,N2,100
526,2,N2,100
527,2,N2,100
528,2,N2,100
529,2,N2,100
530,2,N2,100
531,2,N2,100
532,2,N2,100
533,2,N2,100
534,2,N2,100
535,2,N2,100
536,2,N2,100
537,2,N2,100
538,2,N2,100
539,2,N2,100
540,2,N2,100
541,2,N2,100
542,2,N2,100
543,2,N2,100
544,2,N2,100
545,2,N2,100
546,2,N2,100
547,2,N2,100
548,2,N2,100
549,2,N2,100
550,2,N2,100
551,2,N2,100
552,2,N2,100
553,2,N2,100
554,2,N2,100
555,2,N2,100
556,2,N2,100
557,2,N2,100
558,2,N2,100
559,2,N2,100
560,2,N2,100
561,2,N2,100
562,2,N2,100
563,2,N2,100
564,2,N2,100
565,2,N2,100
566,2,N2,100
567,2,N2,100
568,2,N2,100
569,2,N2,100
570,2,N2,100
571,2,N2,100
572,2,N2,100
573,2,N2,100
574,2,N2,100
575,2,N2,100
576,2,N2,100
577,2,N2,100
578,2,N2,100
579,2,N2,100
580,2,N2,100
581,2,N2,100
582,2,N2,100
583,2,N2,100
584,2,N2,100
585,2,N2,100
586,2,N2,100
587,2,N2,100
588,2,N2,100
589,2,N2,100
590,2,N2,100
591,2,N2,100
592,2,N2,100
593,2,N2,100
594,2,N2,100
595,2,N2,100
596,2,N2,100
597,2,N2,100
598,2,N2,100
599,2,N2,100
600,2,N2,100
601,2,N2,100
602,2,N2,100
603,2,N2,100
604,2,N2,100
605,2,N2,100
606,2,N2,100
607,2,N2,100
608,2,N2,100
609,2,N2,100
610,2,N2,100
611,2,N2,100
612,2,N2,100
613,2,N2,100
614,2,N2,100
615,2,N2,100
616,2,N2,100
617,2,N2,100
618,2,N2,100
619,2,N2,100
620,2,N2,100
621,2,N2,100
622,2,N2,100
623,2,N2,100
624,2,N2,100
625,2,N2,100
626,2,N2,100
627,2,N2,100
628,2,N2,100
629,2,N2,100
630,2,N2,100
631,2,N2,100
632,2,N2,100
633,2,N2,100
634,2,N2,100
635,2,N2,100
636,2,N2,100
637,2,N2,100
638,2,N2,100
639,2,N2,100
640,2,N2,100
641,2,N2,100
642,2,N2,100
643,2,N2,100
644,2,N2,100
645,2,N2,100
646,2,N2,100
647,2,N2,100
648,2,N2,100
649,2,N2,100
650,2,N2,100
651,2,N2,100
652,2,N2,100
653,2,N2,100
654,2,N2,100
655,2,N2,100
656,2,N2,100
657,2,N2,100
658,2,N2,100
659,2,N2,100
660,2,N2,100
661,2,N2,100
662,2,N2,100
663,2,N2,100
664,2,N2,100
665,2,N2,100
666,2,N2,100
667,2,N2,100
668,2,N2,100
669,2,N2,100
670,2,N2,100
671,2,N2,100
672,2,N2,100
673,2,N2,100
674,2,N2,100
675,2,N2,100
676,2,N2,100
677,2,N2,100
678,2,N2,100
679,2,N2,100
680,2,N2,100
681,2,N2,100
682,2,N2,100
683,2,N2,100
684,2,N2,100
685,2,N2,100
686,2,N2,100
687,2,N2,100
688,2,N2,100
689,2,N2,100
690,2,N2,100
691,2,N2,100
692,2,N2,100
693,2,N2,100
694,2,N2,100
695,2,N2,100
696,2,N2,100
697,2,N2,100
698,2,N2,100
699,2,N2,100
700,2,N2,100
701,2,N2,100
702,2,N2,100
703,2,N2,100
704,2,N2,100
705,2,N2,100
706,2,N2,100
707,2,N2,100
708,2,N2,100
709,2,N2,100
710,2,N2,100
711,2,N2,100
712,2,N2,100
713,2,N2,100
714,2,N2,100
715,2,N2,100
716,2,N2,100
717,2,N2,100
718,2,N2,100
719,2,N2,100
720,2,N2,100
721,2,N2,100
722,2,N2,100
723,2,N2,100
724,2,N2,100
725,2,N2,100
726,2,N2,100
727,2,N2,100
728,2,N2,100
729,2,N2,100
730,2,N2,100
731,2,N2,100
