feature,stage,stage_name,n,mean,std,median,q25,q75,iqr,min,max,skew,kurtosis,is_constant,outlier_pct
Index_2,6,Unknown/Uncertain,313.0,0.3130191178224719,0.14027738511453716,0.22732874751091003,0.22076749801635742,0.45470598340034485,0.23393848538398743,0.11973347514867783,0.7596644163131714,0.8183683654182512,-0.7511915340942545,0,0.0
Index_3,0,Awake,85553.0,0.5288330564356397,0.2240310007046377,0.5355810523033142,0.35583654046058655,0.7008755207061768,0.3450389802455902,0.020400000736117363,1.0,-0.048486166512742186,-0.8184558237629997,0,0.0
Index_3,1,N1,36976.0,0.513365288866218,0.17219060592741223,0.5149557292461395,0.39366158843040466,0.634306788444519,0.24064520001411438,0.05000000074505806,0.9939191937446594,-0.07216807645444555,-0.3704740818970551,0,0.0
Index_3,2,N2,131253.0,0.5111787565126644,0.16776451313385543,0.5097530484199524,0.3932533264160156,0.6286210417747498,0.23536771535873413,0.05000000074505806,0.9910077452659607,0.0024910129055257997,-0.4050241415783189,0,0.0022856620420104684
Index_3,3,N3,28989.0,0.26229932313959275,0.13492319517690976,0.23567736148834229,0.16672451794147491,0.32466384768486023,0.15793932974338531,0.05004285275936127,0.9739417433738708,1.242805064355429,1.8533068278852571,0,4.163648280382214
Index_3,4,REM,50064.0,0.4726744202032897,0.16838198830058634,0.4668183773756027,0.35380569845438004,0.5911003351211548,0.23729463666677475,0.05000000074505806,0.9687826037406921,0.10979381536149567,-0.44844247238256285,0,0.04394375199744328
Index_3,6,Unknown/Uncertain,313.0,0.42323963087016403,0.10965878711398323,0.3812929391860962,0.36824318766593933,0.46898481249809265,0.10074162483215332,0.23220665752887726,0.7498967051506042,1.122241759628022,0.951835957201502,0,8.945686900958465
Index_4,0,Awake,85553.0,0.5430575953062686,0.22257529086112535,0.5568497180938721,0.3823205530643463,0.7088846564292908,0.32656410336494446,0.021866653114557266,1.0,-0.1516860146748953,-0.7272062203718521,0,0.0
Index_4,1,N1,36976.0,0.38350383972832536,0.16486367629177634,0.361934632062912,0.2586350217461586,0.49253883957862854,0.23390381783246994,0.05000000074505806,1.0,0.5381202346941907,-0.11241861119363916,0,0.5733448723496323
Index_4,2,N2,131253.0,0.34653953112718094,0.1563544199856911,0.32978907227516174,0.2266191840171814,0.44773879647254944,0.22111961245536804,0.05000000074505806,1.0,0.6040039649068113,0.17165138645221312,0,0.863980251879957
Index_4,3,N3,28989.0,0.5987903021318147,0.13941176257052204,0.6066617965698242,0.5122455358505249,0.6894519329071045,0.1772063970565796,0.05708702281117439,0.9756237268447876,-0.3285762703674871,0.29184828940759866,0,1.5557625306150609
Index_4,4,REM,50064.0,0.3969816340574207,0.15674790220861343,0.3890107274055481,0.284121073782444,0.5007666796445847,0.21664560586214066,0.05000000074505806,1.0,0.3534079893148778,-0.006734135812092923,0,0.7989773090444231
Index_4,6,Unknown/Uncertain,313.0,0.4048357705671947,0.11032588403121793,0.43519696593284607,0.3400571048259735,0.4650455415248871,0.12498843669891357,0.11835318058729172,0.6960383057594299,-0.46620282058286777,0.16737469273586214,0,2.8753993610223643
Delta,0,Awake,85553.0,0.2822397148662424,0.2141397442971557,0.21942229568958282,0.10174160450696945,0.4185149073600769,0.31677330285310745,0.020400000736117363,1.0,0.9263627354078083,0.008754611737763707,0,0.6382008813250265
Delta,1,N1,36976.0,0.10950094580405308,0.09007516321425911,0.07696453854441643,0.054648117162287235,0.12842437624931335,0.07377625908702612,0.05000000074505806,1.0,3.6966214190905116,22.67825232271545,0,6.9883167459974045
Delta,2,N2,131253.0,0.16330802872818195,0.11682147532569219,0.12661917507648468,0.07829596102237701,0.2093324065208435,0.1310364454984665,0.05000000074505806,1.0,1.8248785053602747,4.461836768327393,0,4.781604991885899
Delta,3,N3,28989.0,0.49946256955452856,0.19878876572506196,0.49913766980171204,0.357183575630188,0.6464165449142456,0.2892329692840576,0.05000000074505806,0.9976472854614258,-0.0019980388409975387,-0.6511212921003704,0,0.0
Delta,4,REM,50064.0,0.08651727657885992,0.0632502905491206,0.06386484950780869,0.052544197998940945,0.09260577149689198,0.04006157349795103,0.05000000074505806,0.7733153700828552,4.032300978113703,23.140323871671864,0,9.240172579098752
Delta,6,Unknown/Uncertain,313.0,0.21219599600464772,0.19701458715807324,0.10017629712820053,0.05000000074505806,0.41846516728401184,0.3684651665389538,0.05000000074505806,0.6612039804458618,0.8482447727554026,-0.8943479223037638,0,0.0
Theta,0,Awake,85553.0,0.2838505012798821,0.20606021189539567,0.232141375541687,0.112088143825531,0.4060824513435364,0.29399430751800537,0.020400000736117363,1.0,0.9472848519660623,0.21702978412912888,0,1.206269797669281
Theta,1,N1,36976.0,0.2578265195915355,0.16289717768787254,0.22850743681192398,0.12057448737323284,0.36764833331108093,0.2470738459378481,0.05000000074505806,0.9073771238327026,0.7674270561687213,0.01857941836497856,0,0.5679359584595413
Theta,2,N2,131253.0,0.38076812068555127,0.1882409944879492,0.36701810359954834,0.23410379886627197,0.510398805141449,0.276295006275177,0.05000000074505806,0.9879298806190491,0.34990242878373556,-0.5184149009829411,0,0.1302827363945967
Theta,3,N3,28989.0,0.49929370146768176,0.18704138140729518,0.5093677043914795,0.3644787669181824,0.6362242102622986,0.2717454433441162,0.05000000074505806,0.9627755880355835,-0.13652759597968833,-0.6616132602456646,0,0.0
Theta,4,REM,50064.0,0.19796344164880061,0.1311172821909916,0.1640928089618683,0.09804635308682919,0.2616450563073158,0.16359870322048664,0.05000000074505806,0.9320411682128906,1.4117419984794264,2.275177850362155,0,3.5973953339725155
Theta,6,Unknown/Uncertain,313.0,0.27294949646860645,0.23682543724015445,0.19846691191196442,0.0575999990105629,0.4225560426712036,0.3649560436606407,0.05000000074505806,0.9381749629974365,0.9258459119187573,-0.04498459362197149,0,0.0
Aperiodic,0,Awake,85553.0,0.3512204127074244,0.23917010429293975,0.318408727645874,0.15255247056484222,0.5062375664710999,0.35368509590625763,0.05000000074505806,1.0,0.6227931730434781,-0.34571329459564826,0,0.0
Aperiodic,1,N1,36976.0,0.48641866527077443,0.2416618111973813,0.49501530826091766,0.30759645253419876,0.6649028211832047,0.3573063686490059,0.05000000074505806,1.0,-0.03351497166276974,-0.7567327255458225,0,0.0
Aperiodic,2,N2,131253.0,0.6981857697091955,0.18730024015414065,0.7103316783905029,0.5801217555999756,0.8364700675010681,0.25634831190109253,0.05000000074505806,1.0,-0.5396532997743818,0.21365987539634101,0,1.2053057834868537
Aperiodic,3,N3,28989.0,0.8967400017036419,0.11822465855677697,0.9279283881187439,0.8433263301849365,1.0,0.15667366981506348,0.05000000074505806,1.0,-1.962067113857177,6.268029876707313,0,2.8148608092724827
Aperiodic,4,REM,50064.0,0.5056325117568552,0.19233254678703224,0.5060888528823853,0.3802873268723488,0.6337246298789978,0.253437303006649,0.05000000074505806,1.0,-0.01509005823006483,-0.11381579401876118,0,0.0
Aperiodic,6,Unknown/Uncertain,313.0,0.6940991112623162,0.16323480784526412,0.6915546655654907,0.6080044507980347,0.8089326620101929,0.2009282112121582,0.05000000074505806,1.0,-1.2079186998589946,3.544296697464084,0,2.8753993610223643
DFA,0,Awake,85553.0,0.5036522315984105,0.3006551400910662,0.4830680191516876,0.24427646398544312,0.751318633556366,0.5070421695709229,0.05000000074505806,1.0,0.16271851151124858,-1.1684413178019912,0,0.0
DFA,1,N1,36976.0,0.45912218928395127,0.2755732600987059,0.4161488115787506,0.23606190830469131,0.6524222642183304,0.41636035591363907,0.05000000074505806,1.0,0.4455713956430576,-0.8078303345901241,0,0.0
DFA,2,N2,131253.0,0.3109183708150062,0.22029240146476664,0.2634933292865753,0.1363145262002945,0.43305936455726624,0.29674483835697174,0.05000000074505806,1.0,0.9889638237979308,0.5289220450511731,0,2.3191850852932885
DFA,3,N3,28989.0,0.12413217625287892,0.12177982055591842,0.05797548592090607,0.05000000074505806,0.1592705100774765,0.10927050933241844,0.05000000074505806,1.0,2.5096703298879683,8.330552629939422,0,7.251026251336714
DFA,4,REM,50064.0,0.4388972999021761,0.2333108795873919,0.422050803899765,0.2681458741426468,0.5841968506574631,0.3160509765148163,0.05000000074505806,1.0,0.42202903585451307,-0.3146770897621636,0,0.0
DFA,6,Unknown/Uncertain,313.0,0.16712256987540486,0.20749281881330475,0.06934002041816711,0.05000000074505806,0.1892755627632141,0.13927556201815605,0.05000000074505806,1.0,2.50676791193151,6.13985323711645,0,9.26517571884984
MSE,0,Awake,85553.0,0.578863865385003,0.30503726345445437,0.5961542725563049,0.32077839970588684,0.8600047826766968,0.5392263829708099,0.05000000074505806,1.0,-0.17461414742638856,-1.2263812191803927,0,0.0
