stage,stage_name,rank_within_stage,feature,interval_low,interval_high,coverage,precision,lift,distinctiveness_index,distinctiveness_index_norm_stage
2,N2,13,Index_3,0.36451697945594785,0.6572842597961426,0.5999939049012213,0.460763892952011,1.169516654162472,0.10170895927673143,0.28608203639250274
2,N2,14,Index_R_noEOG,0.33728532791137694,0.7962968349456788,0.5999939049012213,0.429436913110338,1.0900021235973254,0.05400072558656162,0.15189062647316412
2,N2,15,Index_R,0.19202490746974946,0.6025388836860657,0.5999939049012213,0.39128598543192455,0.9931669636072619,0.0,0.0
3,N3,1,Aperiodic,0.8196230292320251,1.0,0.7999931008313498,0.33053975855532275,3.798636016486362,2.2388895049272213,1.0
3,N3,2,Index_N_noEOG,0.7543144822120667,0.9154968976974488,0.5999862016626997,0.35232751286310415,4.049025708164079,1.8293733534132885,0.8170896104462981
3,N3,3,MSE,0.05000000074505806,0.23938293457031254,0.7999931008313498,0.28404330891899177,3.264288532845451,1.8114152045679,0.8090686032434562
3,N3,4,Delta,0.31921138763427737,0.6835786938667298,0.5999862016626997,0.3020719359488703,3.471477502374615,1.482852399144561,0.6623160258160053
3,N3,5,DFA,0.05000000074505806,0.19177464246749887,0.7999931008313498,0.2268290297339593,2.606769381383995,1.2854044197342518,0.5741258855809572
3,N3,6,Index_1,0.0705006867647171,0.29963986277580273,0.5999862016626997,0.25054378358133705,2.8793045779984143,1.1275568155205913,0.5036232529739088
3,N3,7,Index_3,0.15165767073631287,0.3537288367748261,0.5999862016626997,0.2347011753275669,2.6972378197636924,1.0183192727982995,0.45483230438895716
3,N3,8,EOG,0.15329245924949647,0.34927977323532106,0.5999862016626997,0.22839546702034064,2.6247712251549897,0.9748403159515933,0.43541242826241305
3,N3,9,Index_4,0.4897946953773499,0.7120448112487795,0.5999862016626997,0.19445469282799485,2.2347163408712385,0.7408127674902015,0.3308840234678231
3,N3,10,Index_2,0.4547455608844757,0.7461431622505188,0.5999862016626997,0.14759718603881503,1.6962195085685623,0.4177220984695231,0.18657557577103467
3,N3,11,Theta,0.3272436797618866,0.6667757630348206,0.5999862016626997,0.13954365302225574,1.6036665258037253,0.3621915858878952,0.16177287226136192
3,N3,12,Index_W,0.07369953989982606,0.4902870118618012,0.5999862016626997,0.11695996879812251,1.3441298314777717,0.20647315046717316,0.09222123289817508
3,N3,13,Index_R_noEOG,0.1420110493898392,0.5202854037284852,0.5999862016626997,0.10730723196327875,1.233198444709771,0.1399158490750646,0.06249341415337636
3,N3,14,Index_R,0.1400883287191391,0.4552914798259735,0.5999862016626997,0.10501497367531276,1.2068553054462394,0.12411032900846675,0.05543387859710439
3,N3,15,Index_N,0.1969505161046982,0.5767786860466003,0.5999862016626997,0.09813469046920491,1.1277855690109682,0.07666957817819757,0.03424446718315821
4,REM,1,Index_N_noEOG,0.1917464792728424,0.44573974013328554,0.5999920102269095,0.29320240512259876,1.9510984911539933,0.5706514956312649,1.0
4,REM,2,Index_R,0.4937269985675812,0.8839305639266968,0.6000119846596357,0.2735717603344171,1.8204674978284574,0.4922903317207781,0.862681225738658
4,REM,3,Delta,0.051368598639965055,0.10380169153213505,0.5999920102269095,0.27068821022087247,1.8012790799389404,0.48076104592533336,0.842477500901854
4,REM,4,Index_2,0.1664201706647873,0.37161065340042115,0.5999920102269095,0.25670432597808807,1.7082241289225588,0.424928818803448,0.7446380532716981
4,REM,5,Aperiodic,0.3483552157878876,0.66488755941391,0.5999920102269095,0.24131171773325408,1.605794905298481,0.3634721030152559,0.636942347120595
4,REM,6,Index_R_noEOG,0.5309078454971313,0.8934713721275329,0.5999920102269095,0.23783056215360254,1.5826297563083478,0.34957319870546,0.6125861429991625
4,REM,7,Theta,0.08680664747953415,0.2899084329605103,0.5999920102269095,0.2348131297733793,1.5625504265983778,0.3375257613087662,0.5914744180866277
4,REM,8,Index_W,0.1437513828277588,0.5623217821121216,0.5999920102269095,0.2071157691512101,1.3782399380938035,0.226940940805003,0.3976874546766181
4,REM,9,DFA,0.23083076775074005,0.6295453906059265,0.5999920102269095,0.20317911255411256,1.3520436838592012,0.2112233975663687,0.3701442985489937
